index  label   sentence    POS w_index
Abi1-fragment01 1	0	De politieke toekomst van PvdA-lijsttrekker en kandidaat-premier Ad Melkert is uiterst  onzeker geworden . 	VERB	10
Abi1-fragment01 2	0	De politieke toekomst van PvdA-lijsttrekker en kandidaat-premier Ad Melkert is uiterst  onzeker geworden . 	VERB	13
Abi1-fragment01 3	0	De  weerstand van veel kiezers tegen hem is te groot om zomaar te kunnen negeren . 	VERB	8
Abi1-fragment01 4	0	De  weerstand van veel kiezers tegen hem is te groot om zomaar te kunnen negeren . 	VERB	14
Abi1-fragment01 5	0	De  weerstand van veel kiezers tegen hem is te groot om zomaar te kunnen negeren . 	VERB	15
Abi1-fragment01 6	0	Hoezeer Melkert ook ten onrechte wordt beschuldigd van welke vorm dan ook van medeverantwoordelijkheid voor de dood van Pim Fortuyn . 	VERB	6
Abi1-fragment01 7	0	Hoezeer Melkert ook ten onrechte wordt beschuldigd van welke vorm dan ook van medeverantwoordelijkheid voor de dood van Pim Fortuyn . 	VERB	7
Abi1-fragment01 8	0	Na de uitslag van 15 mei zal de partij , mede de emoties in het land aftastend , een beslissing moeten nemen over het leiderschap van de PvdA . 	VERB	7
Abi1-fragment01 9	1	Na de uitslag van 15 mei zal de partij , mede de emoties in het land aftastend , een beslissing moeten nemen over het leiderschap van de PvdA . 	VERB	17
Abi1-fragment01 10	0	Na de uitslag van 15 mei zal de partij , mede de emoties in het land aftastend , een beslissing moeten nemen over het leiderschap van de PvdA . 	VERB	21
Abi1-fragment01 11	1	Na de uitslag van 15 mei zal de partij , mede de emoties in het land aftastend , een beslissing moeten nemen over het leiderschap van de PvdA . 	VERB	22
Abi1-fragment01 12	0	De voorman , die wordt beschuldigd van demonisering van Pim Fortuyn , is nu zelf het slachtoffer van demonisering . 	VERB	5
Abi1-fragment01 13	0	De voorman , die wordt beschuldigd van demonisering van Pim Fortuyn , is nu zelf het slachtoffer van demonisering . 	VERB	6
Abi1-fragment01 14	0	De voorman , die wordt beschuldigd van demonisering van Pim Fortuyn , is nu zelf het slachtoffer van demonisering . 	VERB	13
Abi1-fragment01 15	0	' Melkert moordenaar ' , het zal je als politicus en mens van vlees en bloed maar gezegd worden . 	VERB	7
Abi1-fragment01 16	0	' Melkert moordenaar ' , het zal je als politicus en mens van vlees en bloed maar gezegd worden . 	VERB	18
Abi1-fragment01 17	0	' Melkert moordenaar ' , het zal je als politicus en mens van vlees en bloed maar gezegd worden . 	VERB	19
Abi1-fragment01 18	0	Dat gaat niemand in de koude kleren zitten . 	VERB	2
Abi1-fragment01 19	1	Dat gaat niemand in de koude kleren zitten . 	VERB	8
Abi1-fragment01 20	0	Melkert is dan ook zeer ontdaan over alles wat hij over zich heen krijgt en over de gruwelijke moord op Pim Fortuyn . 	VERB	2
Abi1-fragment01 21	0	Melkert is dan ook zeer ontdaan over alles wat hij over zich heen krijgt en over de gruwelijke moord op Pim Fortuyn . 	VERB	6
Abi1-fragment01 22	1	Melkert is dan ook zeer ontdaan over alles wat hij over zich heen krijgt en over de gruwelijke moord op Pim Fortuyn . 	VERB	14
Abi1-fragment01 23	0	Al voor  die zwarte maandag in de parlementaire geschiedenis van Nederland was Melkert het mikpunt van kritiek . 	VERB	12
Abi1-fragment01 24	0	Hij werd gezien als arrogant , als een technocraat zonder gezag , een representant van de ' oude ' politiek die zoveel kiezers dezer dagen hekelen . 	VERB	2
Abi1-fragment01 25	1	Hij werd gezien als arrogant , als een technocraat zonder gezag , een representant van de ' oude ' politiek die zoveel kiezers dezer dagen hekelen . 	VERB	3
Abi1-fragment01 26	1	Hij werd gezien als arrogant , als een technocraat zonder gezag , een representant van de ' oude ' politiek die zoveel kiezers dezer dagen hekelen . 	VERB	26
Abi1-fragment01 27	1	Andere partijen twijfelden ook of hij wel in staat was als premier de toekomstige regeringspartijen te binden . 	VERB	3
Abi1-fragment01 28	0	Andere partijen twijfelden ook of hij wel in staat was als premier de toekomstige regeringspartijen te binden . 	VERB	10
Abi1-fragment01 29	1	Andere partijen twijfelden ook of hij wel in staat was als premier de toekomstige regeringspartijen te binden . 	VERB	17
Abi1-fragment01 30	0	Hij was het ' gezeik ' en ' gezeur ' zat , zei hij vorige week nog op een partijbijeenkomst . 	VERB	2
Abi1-fragment01 31	1	Hij was het ' gezeik ' en ' gezeur ' zat , zei hij vorige week nog op een partijbijeenkomst . 	VERB	11
Abi1-fragment01 32	0	Hij was het ' gezeik ' en ' gezeur ' zat , zei hij vorige week nog op een partijbijeenkomst . 	VERB	13
